"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Получение информации о пользователе","LMS service","Sat Jul 12 10:38:22 GMT 2025","passed","Sat Jul 12 10:38:22 GMT 2025","Get entity","Users","",""
"","12","Получение файла","LMS service","Sat Jul 12 10:38:18 GMT 2025","passed","Sat Jul 12 10:38:18 GMT 2025","Get entity","Files","",""
"","24","Получение списка курсов","LMS service","Sat Jul 12 10:38:13 GMT 2025","passed","Sat Jul 12 10:38:13 GMT 2025","Update entity","Courses","",""
"","20","Создание задания","LMS service","Sat Jul 12 10:38:14 GMT 2025","passed","Sat Jul 12 10:38:14 GMT 2025","Create entity","Exercises","",""
"","35","Создание файла","LMS service","Sat Jul 12 10:38:17 GMT 2025","passed","Sat Jul 12 10:38:17 GMT 2025","Create entity","Files","",""
"","282","Создание пользователя","LMS service","Sat Jul 12 10:38:21 GMT 2025","passed","Sat Jul 12 10:38:22 GMT 2025","Create entity","Users","",""
"","280","Авторизация пользователя","LMS service","Sat Jul 12 10:38:11 GMT 2025","passed","Sat Jul 12 10:38:11 GMT 2025","Login","Authentication","",""
"","28","Обновление данных курса","LMS service","Sat Jul 12 10:38:12 GMT 2025","passed","Sat Jul 12 10:38:12 GMT 2025","Get entities","Courses","",""
"","16","Получение данных задания","LMS service","Sat Jul 12 10:38:15 GMT 2025","passed","Sat Jul 12 10:38:15 GMT 2025","Get entity","Exercises","",""
"","281","Создание пользователя","LMS service","Sat Jul 12 10:38:21 GMT 2025","passed","Sat Jul 12 10:38:21 GMT 2025","Create entity","Users","",""
"","15","Получение файла по некорректному file_id","LMS service","Sat Jul 12 10:38:21 GMT 2025","passed","Sat Jul 12 10:38:21 GMT 2025","Validate entity","Files","",""
"","20","Удаление файла","LMS service","Sat Jul 12 10:38:20 GMT 2025","passed","Sat Jul 12 10:38:20 GMT 2025","Validate entity","Files","",""
"","27","Создание курса","LMS service","Sat Jul 12 10:38:13 GMT 2025","passed","Sat Jul 12 10:38:13 GMT 2025","Create entity","Courses","",""
"","16","Получение списка заданий","LMS service","Sat Jul 12 10:38:17 GMT 2025","passed","Sat Jul 12 10:38:17 GMT 2025","Get entities","Exercises","",""
"","283","Создание пользователя","LMS service","Sat Jul 12 10:38:21 GMT 2025","passed","Sat Jul 12 10:38:21 GMT 2025","Create entity","Users","",""
"","33","Создание файла с пустым названием","LMS service","Sat Jul 12 10:38:19 GMT 2025","passed","Sat Jul 12 10:38:19 GMT 2025","Delete entity","Files","",""
"","33","Создание файла с пустой директорией","LMS service","Sat Jul 12 10:38:19 GMT 2025","passed","Sat Jul 12 10:38:19 GMT 2025","Validate entity","Files","",""
"","18","Удаление задания","LMS service","Sat Jul 12 10:38:16 GMT 2025","passed","Sat Jul 12 10:38:16 GMT 2025","Delete entity","Exercises","",""
"","21","Обновление данных задания","LMS service","Sat Jul 12 10:38:15 GMT 2025","passed","Sat Jul 12 10:38:15 GMT 2025","Update entity","Exercises","",""
