"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Удаление задания","LMS service","Sat Jul 12 10:28:09 GMT 2025","passed","Sat Jul 12 10:28:09 GMT 2025","Delete entity","Exercises","",""
"","19","Создание задания","LMS service","Sat Jul 12 10:28:07 GMT 2025","passed","Sat Jul 12 10:28:07 GMT 2025","Create entity","Exercises","",""
"","282","Создание пользователя","LMS service","Sat Jul 12 10:28:15 GMT 2025","passed","Sat Jul 12 10:28:15 GMT 2025","Create entity","Users","",""
"","12","Получение файла","LMS service","Sat Jul 12 10:28:11 GMT 2025","passed","Sat Jul 12 10:28:11 GMT 2025","Get entity","Files","",""
"","24","Получение списка курсов","LMS service","Sat Jul 12 10:28:06 GMT 2025","passed","Sat Jul 12 10:28:06 GMT 2025","Update entity","Courses","",""
"","13","Получение информации о пользователе","LMS service","Sat Jul 12 10:28:15 GMT 2025","passed","Sat Jul 12 10:28:15 GMT 2025","Get entity","Users","",""
"","33","Создание файла с пустым названием","LMS service","Sat Jul 12 10:28:12 GMT 2025","passed","Sat Jul 12 10:28:12 GMT 2025","Delete entity","Files","",""
"","26","Создание курса","LMS service","Sat Jul 12 10:28:06 GMT 2025","passed","Sat Jul 12 10:28:06 GMT 2025","Create entity","Courses","",""
"","15","Получение данных задания","LMS service","Sat Jul 12 10:28:08 GMT 2025","passed","Sat Jul 12 10:28:08 GMT 2025","Get entity","Exercises","",""
"","27","Обновление данных курса","LMS service","Sat Jul 12 10:28:05 GMT 2025","passed","Sat Jul 12 10:28:05 GMT 2025","Get entities","Courses","",""
"","283","Создание пользователя","LMS service","Sat Jul 12 10:28:14 GMT 2025","passed","Sat Jul 12 10:28:15 GMT 2025","Create entity","Users","",""
"","282","Авторизация пользователя","LMS service","Sat Jul 12 10:28:04 GMT 2025","passed","Sat Jul 12 10:28:04 GMT 2025","Login","Authentication","",""
"","21","Обновление данных задания","LMS service","Sat Jul 12 10:28:08 GMT 2025","passed","Sat Jul 12 10:28:08 GMT 2025","Update entity","Exercises","",""
"","19","Удаление файла","LMS service","Sat Jul 12 10:28:13 GMT 2025","passed","Sat Jul 12 10:28:13 GMT 2025","Validate entity","Files","",""
"","16","Получение списка заданий","LMS service","Sat Jul 12 10:28:10 GMT 2025","passed","Sat Jul 12 10:28:10 GMT 2025","Get entities","Exercises","",""
"","283","Создание пользователя","LMS service","Sat Jul 12 10:28:14 GMT 2025","passed","Sat Jul 12 10:28:14 GMT 2025","Create entity","Users","",""
"","31","Создание файла с пустой директорией","LMS service","Sat Jul 12 10:28:13 GMT 2025","passed","Sat Jul 12 10:28:13 GMT 2025","Validate entity","Files","",""
"","15","Получение файла по некорректному file_id","LMS service","Sat Jul 12 10:28:14 GMT 2025","passed","Sat Jul 12 10:28:14 GMT 2025","Validate entity","Files","",""
"","32","Создание файла","LMS service","Sat Jul 12 10:28:11 GMT 2025","passed","Sat Jul 12 10:28:11 GMT 2025","Create entity","Files","",""
