"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","282","Создание пользователя","LMS service","Wed Jul 09 14:06:50 GMT 2025","passed","Wed Jul 09 14:06:50 GMT 2025","Create entity","Users","",""
"","282","Создание пользователя","LMS service","Wed Jul 09 14:06:49 GMT 2025","passed","Wed Jul 09 14:06:49 GMT 2025","Create entity","Users","",""
"","31","Создание файла с пустым названием","LMS service","Wed Jul 09 14:06:47 GMT 2025","passed","Wed Jul 09 14:06:47 GMT 2025","Delete entity","Files","",""
"","27","Создание курса","LMS service","Wed Jul 09 14:06:41 GMT 2025","passed","Wed Jul 09 14:06:41 GMT 2025","Create entity","Courses","",""
"","13","Получение списка заданий","LMS service","Wed Jul 09 14:06:45 GMT 2025","passed","Wed Jul 09 14:06:45 GMT 2025","Get entities","Exercises","",""
"","17","Удаление файла","LMS service","Wed Jul 09 14:06:48 GMT 2025","passed","Wed Jul 09 14:06:48 GMT 2025","Validate entity","Files","",""
"","24","Обновление данных курса","LMS service","Wed Jul 09 14:06:40 GMT 2025","passed","Wed Jul 09 14:06:40 GMT 2025","Get entities","Courses","",""
"","34","Создание файла","LMS service","Wed Jul 09 14:06:46 GMT 2025","passed","Wed Jul 09 14:06:46 GMT 2025","Create entity","Files","",""
"","14","Получение информации о пользователе","LMS service","Wed Jul 09 14:06:51 GMT 2025","passed","Wed Jul 09 14:06:51 GMT 2025","Get entity","Users","",""
"","17","Создание задания","LMS service","Wed Jul 09 14:06:42 GMT 2025","passed","Wed Jul 09 14:06:42 GMT 2025","Create entity","Exercises","",""
"","13","Получение данных задания","LMS service","Wed Jul 09 14:06:43 GMT 2025","passed","Wed Jul 09 14:06:43 GMT 2025","Get entity","Exercises","",""
"","32","Создание файла с пустой директорией","LMS service","Wed Jul 09 14:06:48 GMT 2025","passed","Wed Jul 09 14:06:48 GMT 2025","Validate entity","Files","",""
"","281","Авторизация пользователя","LMS service","Wed Jul 09 14:06:39 GMT 2025","passed","Wed Jul 09 14:06:39 GMT 2025","Login","Authentication","",""
"","15","Обновление данных задания","LMS service","Wed Jul 09 14:06:44 GMT 2025","passed","Wed Jul 09 14:06:44 GMT 2025","Update entity","Exercises","",""
"","12","Получение файла","LMS service","Wed Jul 09 14:06:46 GMT 2025","passed","Wed Jul 09 14:06:46 GMT 2025","Get entity","Files","",""
"","13","Получение файла по некорректному file_id","LMS service","Wed Jul 09 14:06:49 GMT 2025","passed","Wed Jul 09 14:06:49 GMT 2025","Validate entity","Files","",""
"","286","Создание пользователя","LMS service","Wed Jul 09 14:06:49 GMT 2025","passed","Wed Jul 09 14:06:50 GMT 2025","Create entity","Users","",""
"","23","Получение списка курсов","LMS service","Wed Jul 09 14:06:41 GMT 2025","passed","Wed Jul 09 14:06:41 GMT 2025","Update entity","Courses","",""
"","16","Удаление задания","LMS service","Wed Jul 09 14:06:44 GMT 2025","passed","Wed Jul 09 14:06:44 GMT 2025","Delete entity","Exercises","",""
