"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Создание пользователя","LMS service","Sat Jul 12 10:47:18 GMT 2025","passed","Sat Jul 12 10:47:18 GMT 2025","Create entity","Users","",""
"","33","Создание файла","LMS service","Sat Jul 12 10:47:14 GMT 2025","passed","Sat Jul 12 10:47:14 GMT 2025","Create entity","Files","",""
"","33","Создание файла с пустой директорией","LMS service","Sat Jul 12 10:47:16 GMT 2025","passed","Sat Jul 12 10:47:16 GMT 2025","Validate entity","Files","",""
"","15","Получение информации о пользователе","LMS service","Sat Jul 12 10:47:19 GMT 2025","passed","Sat Jul 12 10:47:19 GMT 2025","Get entity","Users","",""
"","15","Получение файла по некорректному file_id","LMS service","Sat Jul 12 10:47:17 GMT 2025","passed","Sat Jul 12 10:47:17 GMT 2025","Validate entity","Files","",""
"","29","Обновление данных курса","LMS service","Sat Jul 12 10:47:08 GMT 2025","passed","Sat Jul 12 10:47:08 GMT 2025","Get entities","Courses","",""
"","21","Обновление данных задания","LMS service","Sat Jul 12 10:47:12 GMT 2025","passed","Sat Jul 12 10:47:12 GMT 2025","Update entity","Exercises","",""
"","33","Создание файла с пустым названием","LMS service","Sat Jul 12 10:47:15 GMT 2025","passed","Sat Jul 12 10:47:15 GMT 2025","Delete entity","Files","",""
"","22","Удаление задания","LMS service","Sat Jul 12 10:47:13 GMT 2025","passed","Sat Jul 12 10:47:13 GMT 2025","Delete entity","Exercises","",""
"","284","Создание пользователя","LMS service","Sat Jul 12 10:47:17 GMT 2025","passed","Sat Jul 12 10:47:18 GMT 2025","Create entity","Users","",""
"","284","Создание пользователя","LMS service","Sat Jul 12 10:47:18 GMT 2025","passed","Sat Jul 12 10:47:18 GMT 2025","Create entity","Users","",""
"","282","Авторизация пользователя","LMS service","Sat Jul 12 10:47:07 GMT 2025","passed","Sat Jul 12 10:47:08 GMT 2025","Login","Authentication","",""
"","19","Удаление файла","LMS service","Sat Jul 12 10:47:17 GMT 2025","passed","Sat Jul 12 10:47:17 GMT 2025","Validate entity","Files","",""
"","16","Получение списка заданий","LMS service","Sat Jul 12 10:47:13 GMT 2025","passed","Sat Jul 12 10:47:13 GMT 2025","Get entities","Exercises","",""
"","17","Получение данных задания","LMS service","Sat Jul 12 10:47:11 GMT 2025","passed","Sat Jul 12 10:47:11 GMT 2025","Get entity","Exercises","",""
"","12","Получение файла","LMS service","Sat Jul 12 10:47:15 GMT 2025","passed","Sat Jul 12 10:47:15 GMT 2025","Get entity","Files","",""
"","29","Создание курса","LMS service","Sat Jul 12 10:47:10 GMT 2025","passed","Sat Jul 12 10:47:10 GMT 2025","Create entity","Courses","",""
"","25","Получение списка курсов","LMS service","Sat Jul 12 10:47:09 GMT 2025","passed","Sat Jul 12 10:47:09 GMT 2025","Update entity","Courses","",""
"","21","Создание задания","LMS service","Sat Jul 12 10:47:10 GMT 2025","passed","Sat Jul 12 10:47:11 GMT 2025","Create entity","Exercises","",""
