"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Создание пользователя","LMS service","Sat Jul 12 19:07:30 GMT 2025","passed","Sat Jul 12 19:07:30 GMT 2025","Create entity","Users","",""
"","285","Создание пользователя","LMS service","Sat Jul 12 19:07:30 GMT 2025","passed","Sat Jul 12 19:07:31 GMT 2025","Create entity","Users","",""
"","29","Обновление данных курса","LMS service","Sat Jul 12 19:07:21 GMT 2025","passed","Sat Jul 12 19:07:21 GMT 2025","Get entities","Courses","",""
"","286","Создание пользователя","LMS service","Sat Jul 12 19:07:30 GMT 2025","passed","Sat Jul 12 19:07:30 GMT 2025","Create entity","Users","",""
"","16","Получение данных задания","LMS service","Sat Jul 12 19:07:23 GMT 2025","passed","Sat Jul 12 19:07:23 GMT 2025","Get entity","Exercises","",""
"","15","Получение списка заданий","LMS service","Sat Jul 12 19:07:26 GMT 2025","passed","Sat Jul 12 19:07:26 GMT 2025","Get entities","Exercises","",""
"","27","Создание курса","LMS service","Sat Jul 12 19:07:22 GMT 2025","passed","Sat Jul 12 19:07:22 GMT 2025","Create entity","Courses","",""
"","19","Получение информации о пользователе","LMS service","Sat Jul 12 19:07:31 GMT 2025","passed","Sat Jul 12 19:07:31 GMT 2025","Get entity","Users","",""
"","24","Получение списка курсов","LMS service","Sat Jul 12 19:07:21 GMT 2025","passed","Sat Jul 12 19:07:21 GMT 2025","Update entity","Courses","",""
"","33","Создание файла с пустым названием","LMS service","Sat Jul 12 19:07:28 GMT 2025","passed","Sat Jul 12 19:07:28 GMT 2025","Delete entity","Files","",""
"","18","Обновление данных задания","LMS service","Sat Jul 12 19:07:24 GMT 2025","passed","Sat Jul 12 19:07:24 GMT 2025","Update entity","Exercises","",""
"","35","Создание файла с пустой директорией","LMS service","Sat Jul 12 19:07:28 GMT 2025","passed","Sat Jul 12 19:07:28 GMT 2025","Validate entity","Files","",""
"","13","Получение файла","LMS service","Sat Jul 12 19:07:27 GMT 2025","passed","Sat Jul 12 19:07:27 GMT 2025","Get entity","Files","",""
"","17","Удаление задания","LMS service","Sat Jul 12 19:07:25 GMT 2025","passed","Sat Jul 12 19:07:25 GMT 2025","Delete entity","Exercises","",""
"","23","Создание задания","LMS service","Sat Jul 12 19:07:23 GMT 2025","passed","Sat Jul 12 19:07:23 GMT 2025","Create entity","Exercises","",""
"","36","Создание файла","LMS service","Sat Jul 12 19:07:26 GMT 2025","passed","Sat Jul 12 19:07:26 GMT 2025","Create entity","Files","",""
"","16","Получение файла по некорректному file_id","LMS service","Sat Jul 12 19:07:30 GMT 2025","passed","Sat Jul 12 19:07:30 GMT 2025","Validate entity","Files","",""
"","21","Удаление файла","LMS service","Sat Jul 12 19:07:29 GMT 2025","passed","Sat Jul 12 19:07:29 GMT 2025","Validate entity","Files","",""
"","283","Авторизация пользователя","LMS service","Sat Jul 12 19:07:20 GMT 2025","passed","Sat Jul 12 19:07:20 GMT 2025","Login","Authentication","",""
